customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
TLC-00001,Male,0,Yes,No,36,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),69.75,2523.35,No
TLC-00002,Female,1,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),91.96,2763.92,Yes
TLC-00003,Male,0,No,Yes,48,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),30.48,1465.36,Yes
TLC-00004,Male,0,Yes,No,52,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,No,Credit card (automatic),86.75,4508.6,Yes
TLC-00005,Male,0,Yes,No,38,No,No phone service,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Credit card (automatic),69.7,2638.93,No
TLC-00006,Female,1,Yes,Yes,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,18.25,163.66,No
TLC-00007,Male,0,Yes,Yes,8,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,105.22,852.44,No
TLC-00008,Male,0,No,No,12,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),72.35,876.5,No
TLC-00009,Male,0,No,No,17,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),94.56,1604.24,Yes
TLC-00010,Female,0,No,Yes,11,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),75.66,838.66,No
TLC-00011,Male,0,No,Yes,71,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),79.07,5604.58,No
TLC-00012,Male,0,No,No,4,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.1,416.84,Yes
TLC-00013,Male,0,No,Yes,6,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),79.19,487.1,No
TLC-00014,Male,0,No,Yes,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.43,293.72,Yes
TLC-00015,Female,0,Yes,No,66,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,No,Electronic check,100.31,6642.91,No
TLC-00016,Male,0,No,No,17,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,48.89,832.53,Yes
TLC-00017,Female,0,No,No,37,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Two year,Yes,Credit card (automatic),75.61,2813.57,No
TLC-00018,Female,0,No,No,25,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,65.12,1620.06,Yes
TLC-00019,Female,1,No,No,37,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,34.9,1303.13,Yes
TLC-00020,Male,0,Yes,Yes,58,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),98.03,5675.91,No
TLC-00021,Female,1,No,No,51,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),113.02,5766.75,Yes
TLC-00022,Male,0,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.91,646.24,Yes
TLC-00023,Female,0,Yes,No,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,30.05,578.26,No
TLC-00024,Female,1,No,No,16,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),76.19,1212.15,No
TLC-00025,Female,0,No,No,61,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),60.57,3692.18,No
TLC-00026,Female,0,No,No,58,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Two year,No,Electronic check,71.79,4168.95,No
TLC-00027,Female,0,No,No,1,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),90.85,88.58,No
TLC-00028,Female,0,No,No,63,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Mailed check,101.25,6366.3,No
TLC-00029,Female,0,No,No,24,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,102.13,2455.61,Yes
TLC-00030,Female,0,No,No,40,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),105.47,4199.11,No
TLC-00031,Male,0,Yes,Yes,18,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,79.68,1451.56,No
TLC-00032,Male,0,Yes,Yes,37,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Electronic check,86.92,3205.6,Yes
TLC-00033,Female,0,No,Yes,24,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,75.22,1800.92,No
TLC-00034,Female,0,Yes,Yes,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,20.66,778.5,No
TLC-00035,Female,0,No,Yes,3,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.99,62.73,No
TLC-00036,Male,0,Yes,Yes,2,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,96.44,184.27,No
TLC-00037,Female,1,No,No,33,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,77.99,2554.9,Yes
TLC-00038,Male,0,Yes,Yes,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),35.82,320.2,No
TLC-00039,Male,1,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,21.43,545.55,No
TLC-00040,Male,0,Yes,No,0,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),71.92,,No
TLC-00041,Male,0,Yes,No,43,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,111.59,4785.26,No
TLC-00042,Male,0,No,No,51,No,No phone service,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,61.82,3138.57,No
TLC-00043,Female,0,No,No,24,Yes,No,DSL,Yes,Yes,No,No,Yes,No,One year,No,Credit card (automatic),71.12,1699.67,No
TLC-00044,Female,0,Yes,Yes,64,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,82.08,5259.03,No
TLC-00045,Female,0,Yes,Yes,10,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),91.44,912.74,No
TLC-00046,Female,0,No,No,67,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),74.19,4991.51,No
TLC-00047,Female,1,Yes,Yes,14,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,Two year,Yes,Mailed check,67.93,968.16,No
TLC-00048,Male,0,No,Yes,56,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,Mailed check,62.36,3503.96,No
TLC-00049,Female,0,Yes,No,63,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),78.8,4965.22,No
TLC-00050,Female,0,Yes,Yes,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),24.78,246.46,No
TLC-00051,Male,0,No,No,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,108.67,2084.41,No
TLC-00052,Female,0,No,Yes,29,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),96.58,2794.06,No
TLC-00053,Male,0,No,No,9,No,No phone service,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),60.25,545.55,Yes
TLC-00054,Female,1,Yes,No,53,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,90.05,4770.98,No
TLC-00055,Male,0,Yes,Yes,57,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.25,1035.14,No
TLC-00056,Female,0,Yes,No,28,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,102.17,2862.49,Yes
TLC-00057,Female,0,No,Yes,0,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),83.24,,No
TLC-00058,Male,0,Yes,No,57,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),117.07,6683.25,Yes
